time_s,channel,signal_uv,positive_attribution,seizure_state,sampling_rate_hz,onset_s,offset_s,status,random_seed
0.31500,Fp1,-2.52991,0.001547,non-ictal,200,0.68,1.36,SIMULATED,40404
0.32000,Fp1,-11.50156,0.001547,non-ictal,200,0.68,1.36,SIMULATED,40404
0.32500,Fp1,-11.27556,0.000985,non-ictal,200,0.68,1.36,SIMULATED,40404
0.33000,Fp1,-8.99524,0.004823,non-ictal,200,0.68,1.36,SIMULATED,40404
0.33500,Fp1,-11.81828,0.004823,non-ictal,200,0.68,1.36,SIMULATED,40404
0.34000,Fp1,-11.95118,0.003954,non-ictal,200,0.68,1.36,SIMULATED,40404
0.34500,Fp1,-15.32059,0.003954,non-ictal,200,0.68,1.36,SIMULATED,40404
0.35000,Fp1,-11.15840,0.006691,non-ictal,200,0.68,1.36,SIMULATED,40404
0.35500,Fp1,-11.25732,0.002852,non-ictal,200,0.68,1.36,SIMULATED,40404
0.36000,Fp1,-6.26912,0.002852,non-ictal,200,0.68,1.36,SIMULATED,40404
0.36500,Fp1,-9.23403,0.002852,non-ictal,200,0.68,1.36,SIMULATED,40404
0.37000,Fp1,-8.60532,0.002852,non-ictal,200,0.68,1.36,SIMULATED,40404
0.37500,Fp1,-8.90716,0.000000,non-ictal,200,0.68,1.36,SIMULATED,40404
0.38000,Fp1,-2.84606,0.000057,non-ictal,200,0.68,1.36,SIMULATED,40404
0.38500,Fp1,1.22523,0.000057,non-ictal,200,0.68,1.36,SIMULATED,40404
0.39000,Fp1,1.44492,0.000057,non-ictal,200,0.68,1.36,SIMULATED,40404
0.39500,Fp1,1.91731,0.000057,non-ictal,200,0.68,1.36,SIMULATED,40404
0.40000,Fp1,-0.25508,0.006051,non-ictal,200,0.68,1.36,SIMULATED,40404
0.40500,Fp1,3.30519,0.006195,non-ictal,200,0.68,1.36,SIMULATED,40404
0.41000,Fp1,0.86489,0.006497,non-ictal,200,0.68,1.36,SIMULATED,40404
0.41500,Fp1,8.43536,0.008606,non-ictal,200,0.68,1.36,SIMULATED,40404
0.42000,Fp1,7.27362,0.012451,non-ictal,200,0.68,1.36,SIMULATED,40404
0.42500,Fp1,6.57379,0.010898,non-ictal,200,0.68,1.36,SIMULATED,40404
0.43000,Fp1,-0.69217,0.013765,non-ictal,200,0.68,1.36,SIMULATED,40404
0.43500,Fp1,-3.53351,0.014947,non-ictal,200,0.68,1.36,SIMULATED,40404
0.44000,Fp1,1.14554,0.019418,non-ictal,200,0.68,1.36,SIMULATED,40404
0.44500,Fp1,6.93490,0.015574,non-ictal,200,0.68,1.36,SIMULATED,40404
0.45000,Fp1,7.92015,0.012120,non-ictal,200,0.68,1.36,SIMULATED,40404
0.45500,Fp1,11.85033,0.009052,non-ictal,200,0.68,1.36,SIMULATED,40404
0.46000,Fp1,6.89922,0.007568,non-ictal,200,0.68,1.36,SIMULATED,40404
0.46500,Fp1,5.00558,0.001735,non-ictal,200,0.68,1.36,SIMULATED,40404
0.47000,Fp1,-5.76211,0.001921,non-ictal,200,0.68,1.36,SIMULATED,40404
0.47500,Fp1,-0.50322,0.000934,non-ictal,200,0.68,1.36,SIMULATED,40404
0.48000,Fp1,2.72914,0.000934,non-ictal,200,0.68,1.36,SIMULATED,40404
0.48500,Fp1,8.18440,0.002016,non-ictal,200,0.68,1.36,SIMULATED,40404
0.49000,Fp1,-1.50234,0.001268,non-ictal,200,0.68,1.36,SIMULATED,40404
0.49500,Fp1,1.76971,0.003892,non-ictal,200,0.68,1.36,SIMULATED,40404
0.50000,Fp1,-0.42553,0.003892,non-ictal,200,0.68,1.36,SIMULATED,40404
0.50500,Fp1,4.14883,0.004108,non-ictal,200,0.68,1.36,SIMULATED,40404
0.51000,Fp1,-0.78559,0.003224,non-ictal,200,0.68,1.36,SIMULATED,40404
0.51500,Fp1,-3.24273,0.004543,non-ictal,200,0.68,1.36,SIMULATED,40404
0.52000,Fp1,-8.18747,0.001733,non-ictal,200,0.68,1.36,SIMULATED,40404
0.52500,Fp1,-9.49902,0.001733,non-ictal,200,0.68,1.36,SIMULATED,40404
0.53000,Fp1,-3.21664,0.001517,non-ictal,200,0.68,1.36,SIMULATED,40404
0.53500,Fp1,7.22992,0.001319,non-ictal,200,0.68,1.36,SIMULATED,40404
0.54000,Fp1,7.87621,0.001013,non-ictal,200,0.68,1.36,SIMULATED,40404
0.54500,Fp1,2.78151,0.002502,non-ictal,200,0.68,1.36,SIMULATED,40404
0.55000,Fp1,-3.20641,0.003592,non-ictal,200,0.68,1.36,SIMULATED,40404
0.55500,Fp1,-6.70380,0.008770,non-ictal,200,0.68,1.36,SIMULATED,40404
0.56000,Fp1,-5.90571,0.011116,non-ictal,200,0.68,1.36,SIMULATED,40404
0.56500,Fp1,-5.28858,0.010931,non-ictal,200,0.68,1.36,SIMULATED,40404
0.57000,Fp1,-0.42664,0.009443,non-ictal,200,0.68,1.36,SIMULATED,40404
0.57500,Fp1,1.74494,0.011577,non-ictal,200,0.68,1.36,SIMULATED,40404
0.58000,Fp1,-0.35923,0.007081,non-ictal,200,0.68,1.36,SIMULATED,40404
0.58500,Fp1,1.41122,0.006372,non-ictal,200,0.68,1.36,SIMULATED,40404
0.59000,Fp1,-2.52707,0.006549,non-ictal,200,0.68,1.36,SIMULATED,40404
0.59500,Fp1,-0.73288,0.007050,non-ictal,200,0.68,1.36,SIMULATED,40404
0.60000,Fp1,-1.63211,0.006569,non-ictal,200,0.68,1.36,SIMULATED,40404
0.60500,Fp1,2.54962,0.011055,non-ictal,200,0.68,1.36,SIMULATED,40404
0.61000,Fp1,9.59944,0.012647,non-ictal,200,0.68,1.36,SIMULATED,40404
0.61500,Fp1,12.90168,0.011641,non-ictal,200,0.68,1.36,SIMULATED,40404
0.62000,Fp1,10.05035,0.014450,non-ictal,200,0.68,1.36,SIMULATED,40404
0.62500,Fp1,4.64604,0.012523,non-ictal,200,0.68,1.36,SIMULATED,40404
0.63000,Fp1,0.98318,0.007354,non-ictal,200,0.68,1.36,SIMULATED,40404
0.63500,Fp1,0.96143,0.004126,non-ictal,200,0.68,1.36,SIMULATED,40404
0.64000,Fp1,2.20539,0.004126,non-ictal,200,0.68,1.36,SIMULATED,40404
0.64500,Fp1,3.03607,0.000816,non-ictal,200,0.68,1.36,SIMULATED,40404
0.65000,Fp1,5.21803,0.003713,non-ictal,200,0.68,1.36,SIMULATED,40404
0.65500,Fp1,1.27174,0.003713,non-ictal,200,0.68,1.36,SIMULATED,40404
0.66000,Fp1,0.01155,0.003713,non-ictal,200,0.68,1.36,SIMULATED,40404
0.66500,Fp1,-3.06878,0.003713,non-ictal,200,0.68,1.36,SIMULATED,40404
0.67000,Fp1,0.03267,0.005089,non-ictal,200,0.68,1.36,SIMULATED,40404
0.67500,Fp1,5.85489,0.001376,non-ictal,200,0.68,1.36,SIMULATED,40404
0.68000,Fp1,10.42071,0.008611,ictal,200,0.68,1.36,SIMULATED,40404
0.68500,Fp1,7.21676,0.014568,ictal,200,0.68,1.36,SIMULATED,40404
0.69000,Fp1,-0.96787,0.024845,ictal,200,0.68,1.36,SIMULATED,40404
0.69500,Fp1,-0.69581,0.040478,ictal,200,0.68,1.36,SIMULATED,40404
0.70000,Fp1,-0.91292,0.056107,ictal,200,0.68,1.36,SIMULATED,40404
0.70500,Fp1,3.05881,0.069670,ictal,200,0.68,1.36,SIMULATED,40404
0.71000,Fp1,0.02410,0.088386,ictal,200,0.68,1.36,SIMULATED,40404
0.71500,Fp1,6.05001,0.103480,ictal,200,0.68,1.36,SIMULATED,40404
0.72000,Fp1,-1.33733,0.115604,ictal,200,0.68,1.36,SIMULATED,40404
0.72500,Fp1,1.08026,0.137792,ictal,200,0.68,1.36,SIMULATED,40404
0.73000,Fp1,-0.07895,0.153562,ictal,200,0.68,1.36,SIMULATED,40404
0.73500,Fp1,8.61226,0.167878,ictal,200,0.68,1.36,SIMULATED,40404
0.74000,Fp1,9.30418,0.184974,ictal,200,0.68,1.36,SIMULATED,40404
0.74500,Fp1,4.61896,0.206044,ictal,200,0.68,1.36,SIMULATED,40404
0.75000,Fp1,-0.80736,0.217527,ictal,200,0.68,1.36,SIMULATED,40404
0.75500,Fp1,-9.22218,0.240733,ictal,200,0.68,1.36,SIMULATED,40404
0.76000,Fp1,-9.42454,0.263306,ictal,200,0.68,1.36,SIMULATED,40404
0.76500,Fp1,-16.76063,0.286082,ictal,200,0.68,1.36,SIMULATED,40404
0.77000,Fp1,-16.07961,0.300090,ictal,200,0.68,1.36,SIMULATED,40404
0.77500,Fp1,-17.50532,0.323692,ictal,200,0.68,1.36,SIMULATED,40404
0.78000,Fp1,-12.54104,0.340250,ictal,200,0.68,1.36,SIMULATED,40404
0.78500,Fp1,-9.08741,0.358489,ictal,200,0.68,1.36,SIMULATED,40404
0.79000,Fp1,-11.22687,0.376290,ictal,200,0.68,1.36,SIMULATED,40404
0.79500,Fp1,-5.23277,0.396976,ictal,200,0.68,1.36,SIMULATED,40404
0.80000,Fp1,2.36776,0.416126,ictal,200,0.68,1.36,SIMULATED,40404
0.80500,Fp1,15.74545,0.436475,ictal,200,0.68,1.36,SIMULATED,40404
0.81000,Fp1,17.48662,0.457669,ictal,200,0.68,1.36,SIMULATED,40404
0.81500,Fp1,20.31416,0.465848,ictal,200,0.68,1.36,SIMULATED,40404
0.82000,Fp1,19.89075,0.477100,ictal,200,0.68,1.36,SIMULATED,40404
0.82500,Fp1,26.16922,0.476102,ictal,200,0.68,1.36,SIMULATED,40404
0.83000,Fp1,26.75587,0.468099,ictal,200,0.68,1.36,SIMULATED,40404
0.83500,Fp1,21.44950,0.455706,ictal,200,0.68,1.36,SIMULATED,40404
0.84000,Fp1,17.63657,0.452755,ictal,200,0.68,1.36,SIMULATED,40404
0.84500,Fp1,8.11036,0.444542,ictal,200,0.68,1.36,SIMULATED,40404
0.85000,Fp1,7.21633,0.441168,ictal,200,0.68,1.36,SIMULATED,40404
0.85500,Fp1,-1.41631,0.431353,ictal,200,0.68,1.36,SIMULATED,40404
0.86000,Fp1,-6.84629,0.422612,ictal,200,0.68,1.36,SIMULATED,40404
0.86500,Fp1,-10.86699,0.414302,ictal,200,0.68,1.36,SIMULATED,40404
0.87000,Fp1,-14.88948,0.403800,ictal,200,0.68,1.36,SIMULATED,40404
0.87500,Fp1,-12.41001,0.388633,ictal,200,0.68,1.36,SIMULATED,40404
0.88000,Fp1,-18.73827,0.385325,ictal,200,0.68,1.36,SIMULATED,40404
0.88500,Fp1,-15.89710,0.380019,ictal,200,0.68,1.36,SIMULATED,40404
0.89000,Fp1,-12.47551,0.374924,ictal,200,0.68,1.36,SIMULATED,40404
0.89500,Fp1,-4.50681,0.374003,ictal,200,0.68,1.36,SIMULATED,40404
0.90000,Fp1,-0.82200,0.374401,ictal,200,0.68,1.36,SIMULATED,40404
0.90500,Fp1,0.26984,0.374134,ictal,200,0.68,1.36,SIMULATED,40404
0.91000,Fp1,7.20855,0.370203,ictal,200,0.68,1.36,SIMULATED,40404
0.91500,Fp1,8.84842,0.367257,ictal,200,0.68,1.36,SIMULATED,40404
0.92000,Fp1,15.46509,0.368188,ictal,200,0.68,1.36,SIMULATED,40404
0.92500,Fp1,16.83024,0.378178,ictal,200,0.68,1.36,SIMULATED,40404
0.93000,Fp1,18.69990,0.379145,ictal,200,0.68,1.36,SIMULATED,40404
0.93500,Fp1,11.48808,0.386045,ictal,200,0.68,1.36,SIMULATED,40404
0.94000,Fp1,5.32704,0.401302,ictal,200,0.68,1.36,SIMULATED,40404
0.94500,Fp1,-0.13002,0.406566,ictal,200,0.68,1.36,SIMULATED,40404
0.95000,Fp1,-1.62379,0.404768,ictal,200,0.68,1.36,SIMULATED,40404
0.95500,Fp1,-7.40892,0.418659,ictal,200,0.68,1.36,SIMULATED,40404
0.96000,Fp1,-14.25729,0.432255,ictal,200,0.68,1.36,SIMULATED,40404
0.96500,Fp1,-21.60295,0.433072,ictal,200,0.68,1.36,SIMULATED,40404
0.97000,Fp1,-24.84092,0.437968,ictal,200,0.68,1.36,SIMULATED,40404
0.97500,Fp1,-24.67579,0.451458,ictal,200,0.68,1.36,SIMULATED,40404
0.98000,Fp1,-24.91091,0.450742,ictal,200,0.68,1.36,SIMULATED,40404
0.98500,Fp1,-16.22392,0.456358,ictal,200,0.68,1.36,SIMULATED,40404
0.99000,Fp1,-10.13017,0.460373,ictal,200,0.68,1.36,SIMULATED,40404
0.99500,Fp1,-0.19504,0.465650,ictal,200,0.68,1.36,SIMULATED,40404
1.00000,Fp1,6.81790,0.470970,ictal,200,0.68,1.36,SIMULATED,40404
1.00500,Fp1,13.51670,0.475967,ictal,200,0.68,1.36,SIMULATED,40404
1.01000,Fp1,19.76402,0.475987,ictal,200,0.68,1.36,SIMULATED,40404
1.01500,Fp1,17.68752,0.490270,ictal,200,0.68,1.36,SIMULATED,40404
1.02000,Fp1,18.24935,0.488284,ictal,200,0.68,1.36,SIMULATED,40404
1.02500,Fp1,20.30972,0.486003,ictal,200,0.68,1.36,SIMULATED,40404
1.03000,Fp1,25.66595,0.490276,ictal,200,0.68,1.36,SIMULATED,40404
1.03500,Fp1,28.29982,0.489851,ictal,200,0.68,1.36,SIMULATED,40404
1.04000,Fp1,26.29451,0.479337,ictal,200,0.68,1.36,SIMULATED,40404
1.04500,Fp1,17.29276,0.481291,ictal,200,0.68,1.36,SIMULATED,40404
1.05000,Fp1,6.65576,0.477196,ictal,200,0.68,1.36,SIMULATED,40404
1.05500,Fp1,-2.65396,0.471991,ictal,200,0.68,1.36,SIMULATED,40404
1.06000,Fp1,-5.32822,0.464988,ictal,200,0.68,1.36,SIMULATED,40404
1.06500,Fp1,-9.79336,0.458976,ictal,200,0.68,1.36,SIMULATED,40404
1.07000,Fp1,-12.30405,0.449750,ictal,200,0.68,1.36,SIMULATED,40404
1.07500,Fp1,-16.28896,0.443890,ictal,200,0.68,1.36,SIMULATED,40404
1.08000,Fp1,-17.45168,0.433408,ictal,200,0.68,1.36,SIMULATED,40404
1.08500,Fp1,-20.75101,0.419825,ictal,200,0.68,1.36,SIMULATED,40404
1.09000,Fp1,-19.42826,0.407055,ictal,200,0.68,1.36,SIMULATED,40404
1.09500,Fp1,-13.99346,0.404253,ictal,200,0.68,1.36,SIMULATED,40404
1.10000,Fp1,-7.52283,0.385752,ictal,200,0.68,1.36,SIMULATED,40404
1.10500,Fp1,1.54206,0.382762,ictal,200,0.68,1.36,SIMULATED,40404
1.11000,Fp1,7.74710,0.381281,ictal,200,0.68,1.36,SIMULATED,40404
1.11500,Fp1,13.87447,0.384362,ictal,200,0.68,1.36,SIMULATED,40404
1.12000,Fp1,16.88873,0.379602,ictal,200,0.68,1.36,SIMULATED,40404
1.12500,Fp1,20.36256,0.391468,ictal,200,0.68,1.36,SIMULATED,40404
1.13000,Fp1,24.02448,0.386769,ictal,200,0.68,1.36,SIMULATED,40404
1.13500,Fp1,12.60879,0.389343,ictal,200,0.68,1.36,SIMULATED,40404
1.14000,Fp1,7.64594,0.383309,ictal,200,0.68,1.36,SIMULATED,40404
1.14500,Fp1,-4.57531,0.385176,ictal,200,0.68,1.36,SIMULATED,40404
1.15000,Fp1,-3.71628,0.383111,ictal,200,0.68,1.36,SIMULATED,40404
1.15500,Fp1,-10.24523,0.384992,ictal,200,0.68,1.36,SIMULATED,40404
1.16000,Fp1,-10.03763,0.387329,ictal,200,0.68,1.36,SIMULATED,40404
1.16500,Fp1,-13.73402,0.390435,ictal,200,0.68,1.36,SIMULATED,40404
1.17000,Fp1,-10.35952,0.393170,ictal,200,0.68,1.36,SIMULATED,40404
1.17500,Fp1,-11.25891,0.397076,ictal,200,0.68,1.36,SIMULATED,40404
1.18000,Fp1,-9.34867,0.402723,ictal,200,0.68,1.36,SIMULATED,40404
1.18500,Fp1,-12.55824,0.410380,ictal,200,0.68,1.36,SIMULATED,40404
1.19000,Fp1,-12.15737,0.423221,ictal,200,0.68,1.36,SIMULATED,40404
1.19500,Fp1,-8.04680,0.431833,ictal,200,0.68,1.36,SIMULATED,40404
1.20000,Fp1,2.35075,0.439754,ictal,200,0.68,1.36,SIMULATED,40404
1.20500,Fp1,10.86341,0.448731,ictal,200,0.68,1.36,SIMULATED,40404
1.21000,Fp1,15.46594,0.452625,ictal,200,0.68,1.36,SIMULATED,40404
1.21500,Fp1,16.34119,0.457308,ictal,200,0.68,1.36,SIMULATED,40404
1.22000,Fp1,25.23312,0.457642,ictal,200,0.68,1.36,SIMULATED,40404
1.22500,Fp1,33.39687,0.451853,ictal,200,0.68,1.36,SIMULATED,40404
1.23000,Fp1,34.63715,0.445265,ictal,200,0.68,1.36,SIMULATED,40404
1.23500,Fp1,25.42085,0.432653,ictal,200,0.68,1.36,SIMULATED,40404
1.24000,Fp1,14.08415,0.413074,ictal,200,0.68,1.36,SIMULATED,40404
1.24500,Fp1,6.41823,0.394968,ictal,200,0.68,1.36,SIMULATED,40404
1.25000,Fp1,-0.08444,0.379986,ictal,200,0.68,1.36,SIMULATED,40404
1.25500,Fp1,-2.05340,0.363504,ictal,200,0.68,1.36,SIMULATED,40404
1.26000,Fp1,-3.70364,0.348055,ictal,200,0.68,1.36,SIMULATED,40404
1.26500,Fp1,-7.40345,0.331998,ictal,200,0.68,1.36,SIMULATED,40404
1.27000,Fp1,-10.50850,0.311689,ictal,200,0.68,1.36,SIMULATED,40404
1.27500,Fp1,-13.69197,0.292477,ictal,200,0.68,1.36,SIMULATED,40404
1.28000,Fp1,-8.66659,0.271619,ictal,200,0.68,1.36,SIMULATED,40404
1.28500,Fp1,-7.38921,0.249537,ictal,200,0.68,1.36,SIMULATED,40404
1.29000,Fp1,-8.31512,0.224233,ictal,200,0.68,1.36,SIMULATED,40404
1.29500,Fp1,-6.75947,0.204275,ictal,200,0.68,1.36,SIMULATED,40404
1.30000,Fp1,-5.57207,0.180613,ictal,200,0.68,1.36,SIMULATED,40404
1.30500,Fp1,-4.33596,0.159498,ictal,200,0.68,1.36,SIMULATED,40404
1.31000,Fp1,-5.27421,0.140601,ictal,200,0.68,1.36,SIMULATED,40404
1.31500,Fp1,-6.39488,0.131245,ictal,200,0.68,1.36,SIMULATED,40404
1.32000,Fp1,0.32742,0.116175,ictal,200,0.68,1.36,SIMULATED,40404
1.32500,Fp1,3.62778,0.102578,ictal,200,0.68,1.36,SIMULATED,40404
1.33000,Fp1,4.21107,0.089468,ictal,200,0.68,1.36,SIMULATED,40404
1.33500,Fp1,1.49479,0.071601,ictal,200,0.68,1.36,SIMULATED,40404
1.34000,Fp1,-5.34293,0.056869,ictal,200,0.68,1.36,SIMULATED,40404
1.34500,Fp1,-9.35212,0.043899,ictal,200,0.68,1.36,SIMULATED,40404
1.35000,Fp1,-18.41527,0.031228,ictal,200,0.68,1.36,SIMULATED,40404
1.35500,Fp1,-17.01196,0.018268,ictal,200,0.68,1.36,SIMULATED,40404
1.36000,Fp1,-14.87255,0.014451,ictal,200,0.68,1.36,SIMULATED,40404
1.36500,Fp1,-9.01299,0.005815,non-ictal,200,0.68,1.36,SIMULATED,40404
1.37000,Fp1,-2.59198,0.005493,non-ictal,200,0.68,1.36,SIMULATED,40404
1.37500,Fp1,1.53116,0.007472,non-ictal,200,0.68,1.36,SIMULATED,40404
1.38000,Fp1,6.52103,0.010104,non-ictal,200,0.68,1.36,SIMULATED,40404
1.38500,Fp1,-0.00776,0.010104,non-ictal,200,0.68,1.36,SIMULATED,40404
1.39000,Fp1,0.71710,0.014008,non-ictal,200,0.68,1.36,SIMULATED,40404
1.39500,Fp1,-0.47373,0.011137,non-ictal,200,0.68,1.36,SIMULATED,40404
1.40000,Fp1,-0.30240,0.010731,non-ictal,200,0.68,1.36,SIMULATED,40404
1.40500,Fp1,-1.00524,0.012325,non-ictal,200,0.68,1.36,SIMULATED,40404
1.41000,Fp1,0.77341,0.012325,non-ictal,200,0.68,1.36,SIMULATED,40404
1.41500,Fp1,5.89320,0.010107,non-ictal,200,0.68,1.36,SIMULATED,40404
1.42000,Fp1,6.09732,0.010860,non-ictal,200,0.68,1.36,SIMULATED,40404
1.42500,Fp1,9.83329,0.008761,non-ictal,200,0.68,1.36,SIMULATED,40404
1.43000,Fp1,10.83746,0.007087,non-ictal,200,0.68,1.36,SIMULATED,40404
1.43500,Fp1,12.22676,0.008141,non-ictal,200,0.68,1.36,SIMULATED,40404
1.44000,Fp1,11.20486,0.005441,non-ictal,200,0.68,1.36,SIMULATED,40404
1.44500,Fp1,8.55330,0.006141,non-ictal,200,0.68,1.36,SIMULATED,40404
1.45000,Fp1,8.22821,0.005772,non-ictal,200,0.68,1.36,SIMULATED,40404
1.45500,Fp1,2.33907,0.006338,non-ictal,200,0.68,1.36,SIMULATED,40404
1.46000,Fp1,7.35146,0.005726,non-ictal,200,0.68,1.36,SIMULATED,40404
1.46500,Fp1,4.21152,0.006908,non-ictal,200,0.68,1.36,SIMULATED,40404
1.47000,Fp1,8.98828,0.005480,non-ictal,200,0.68,1.36,SIMULATED,40404
1.47500,Fp1,5.65118,0.005480,non-ictal,200,0.68,1.36,SIMULATED,40404
1.48000,Fp1,7.22841,0.005086,non-ictal,200,0.68,1.36,SIMULATED,40404
1.48500,Fp1,7.25979,0.008016,non-ictal,200,0.68,1.36,SIMULATED,40404
1.49000,Fp1,6.02824,0.009734,non-ictal,200,0.68,1.36,SIMULATED,40404
1.49500,Fp1,7.98952,0.011594,non-ictal,200,0.68,1.36,SIMULATED,40404
1.50000,Fp1,3.60348,0.012814,non-ictal,200,0.68,1.36,SIMULATED,40404
1.50500,Fp1,4.00664,0.009783,non-ictal,200,0.68,1.36,SIMULATED,40404
1.51000,Fp1,0.08363,0.009707,non-ictal,200,0.68,1.36,SIMULATED,40404
1.51500,Fp1,2.58785,0.006808,non-ictal,200,0.68,1.36,SIMULATED,40404
